question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,race_id,answer,candidate_id,candidate_name,candidate_party,pct,fte_grade_buckets,fte_grade_good,poll_date,weeks_left
129822,69633,2020,National,1610,USC Dornsife/Los Angeles Times,NA,NA,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5369,rv,rv,Online,U.S. President,0,NA,9/8/20,9/21/20,11/3/20,NA,FALSE,NA,TRUE,FALSE,FALSE,9/22/20 05:48,traditional voting question (RV),https://election.usc.edu/,general,6210,Biden,13256,Joseph R. Biden Jr.,DEM,50.15,3,1,0020-09-21,6
129822,69633,2020,National,1610,USC Dornsife/Los Angeles Times,NA,NA,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5369,rv,rv,Online,U.S. President,0,NA,9/8/20,9/21/20,11/3/20,NA,FALSE,NA,TRUE,FALSE,FALSE,9/22/20 05:48,traditional voting question (RV),https://election.usc.edu/,general,6210,Trump,13254,Donald Trump,REP,41.72,3,1,0020-09-21,6
129823,69633,2020,National,1610,USC Dornsife/Los Angeles Times,NA,NA,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5482,lv,lv,Online,U.S. President,0,NA,9/8/20,9/21/20,11/3/20,NA,FALSE,NA,TRUE,FALSE,FALSE,9/22/20 05:48,probabilistic voting question,https://election.usc.edu/,general,6210,Biden,13256,Joseph R. Biden Jr.,DEM,51.42,3,1,0020-09-21,6
129823,69633,2020,National,1610,USC Dornsife/Los Angeles Times,NA,NA,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5482,lv,lv,Online,U.S. President,0,NA,9/8/20,9/21/20,11/3/20,NA,FALSE,NA,TRUE,FALSE,FALSE,9/22/20 05:48,probabilistic voting question,https://election.usc.edu/,general,6210,Trump,13254,Donald Trump,REP,41.87,3,1,0020-09-21,6
129824,69633,2020,National,1610,USC Dornsife/Los Angeles Times,NA,NA,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5482,lv,lv,Online,U.S. President,0,NA,9/8/20,9/21/20,11/3/20,NA,FALSE,NA,TRUE,FALSE,FALSE,9/22/20 05:48,traditional voting question,https://election.usc.edu/,general,6210,Biden,13256,Joseph R. Biden Jr.,DEM,52.35,3,1,0020-09-21,6
129824,69633,2020,National,1610,USC Dornsife/Los Angeles Times,NA,NA,USC Dornsife,343,USC Dornsife/Los Angeles Times,B/C,5482,lv,lv,Online,U.S. President,0,NA,9/8/20,9/21/20,11/3/20,NA,FALSE,NA,TRUE,FALSE,FALSE,9/22/20 05:48,traditional voting question,https://election.usc.edu/,general,6210,Trump,13254,Donald Trump,REP,41.69,3,1,0020-09-21,6
129820,69631,2020,National,1189,Morning Consult,NA,NA,Morning Consult,218,Morning Consult,B/C,1988,rv,rv,Online,U.S. President,0,NA,9/18/20,9/20/20,11/3/20,NA,FALSE,NA,NA,FALSE,FALSE,9/21/20 18:14,NA,https://assets.morningconsult.com/wp-uploads/2020/09/21170237/200986_crosstabs_TIK_TOK_RVs_v1.pdf,general,6210,Biden,13256,Joseph R. Biden Jr.,DEM,48,3,1,0020-09-20,6
129820,69631,2020,National,1189,Morning Consult,NA,NA,Morning Consult,218,Morning Consult,B/C,1988,rv,rv,Online,U.S. President,0,NA,9/18/20,9/20/20,11/3/20,NA,FALSE,NA,NA,FALSE,FALSE,9/21/20 18:14,NA,https://assets.morningconsult.com/wp-uploads/2020/09/21170237/200986_crosstabs_TIK_TOK_RVs_v1.pdf,general,6210,Trump,13254,Donald Trump,REP,41,3,1,0020-09-20,6
129828,69636,2020,National,1575,Léger,1436,The Canadian Press,Léger,572,Léger,NA,830,lv,lv,Online,U.S. President,0,NA,9/18/20,9/20/20,11/3/20,NA,FALSE,NA,NA,FALSE,FALSE,9/22/20 06:02,NA,https://leger360.com/wp-content/uploads/2020/09/Legers-Weekly-Survey-September-21st-2020-min.pdf,general,6210,Biden,13256,Joseph R. Biden Jr.,DEM,48,7,2,0020-09-20,6
129828,69636,2020,National,1575,Léger,1436,The Canadian Press,Léger,572,Léger,NA,830,lv,lv,Online,U.S. President,0,NA,9/18/20,9/20/20,11/3/20,NA,FALSE,NA,NA,FALSE,FALSE,9/22/20 06:02,NA,https://leger360.com/wp-content/uploads/2020/09/Legers-Weekly-Survey-September-21st-2020-min.pdf,general,6210,Trump,13254,Donald Trump,REP,41,7,2,0020-09-20,6
